table,col_index,column,dtype,non_null,missing_pct,unique,numeric_parse_rate,examples,top_values,mode_share_pct,case_ws_collapse,min,q1,median,mean,q3,max,std,zeros,negatives,skew,outliers_iqr
D1_APACHE_Sheet1,0,Date          S.No,str,78,0.0,78,0.0,01-10-24       01 | 02-10-24       02   | 03-10-24       03 | 03-10-24       04,01-10-24       01(1) | 02-10-24       02(1) | 03-10-24       03(1) | 03-10-24       04(1) | 04-10-24       05(1) | 05-10-24       05(1),1.3,0.0,,,,,,,,,,,
D1_APACHE_Sheet1,1,       NAME,str,78,0.0,78,0.0,<PII redacted>,<PII redacted>,1.3,0.0,,,,,,,,,,,
D1_APACHE_Sheet1,2,       AGE,float64,78,0.0,43,100.0,34.0 | 55.0 | 62.0 | 65.0,,,,16.0,36.0,45.0,46.346,59.0,80.0,16.205,0.0,0.0,0.15,0.0
D1_APACHE_Sheet1,3,         SEX,float64,78,0.0,2,100.0,1.0 | 0.0,,,,0.0,1.0,1.0,0.795,1.0,1.0,0.406,16.0,0.0,-1.46,16.0
D1_APACHE_Sheet1,4,       CRNo,float64,78,0.0,78,100.0,<PII redacted>,,,,331012200402942.0,331012401267799.0,331012401301954.0,331012393568503.8,331012401351714.5,331012401379256.0,31443412.617,0.0,0.0,-4.36,7.0
D1_APACHE_Sheet1,5,   PHONE No,float64,78,0.0,78,100.0,<PII redacted>,,,,6300728368.0,8300531336.0,9370466523.0,8942880206.244,9649524210.25,9989477389.0,980241716.762,0.0,0.0,-1.11,0.0
D1_APACHE_Sheet1,6,      TEMP(°C) ,float64,78,0.0,14,100.0,38.33 | 37.056 | 38.889 | 39.722,,,,36.556,36.889,37.0,37.045,37.0,39.722,0.429,0.0,0.0,4.57,7.0
D1_APACHE_Sheet1,7,   MAP(mmHg) ,float64,78,0.0,23,100.0,103.3 | 76.6 | 106.6 | 103.33,,,,36.6,80.0,86.6,88.408,100.0,136.6,16.068,0.0,0.0,-0.14,3.0
D1_APACHE_Sheet1,8,      HR (/min) ,float64,78,0.0,50,100.0,160.0 | 122.0 | 110.0 | 162.0,,,,52.0,83.25,99.0,102.064,118.0,170.0,26.278,0.0,0.0,0.5,0.0
D1_APACHE_Sheet1,9,      RR (/min) ,float64,78,0.0,29,100.0,40.0 | 38.0 | 44.0 | 36.0,,,,12.0,17.25,23.0,25.026,30.75,50.0,9.345,0.0,0.0,0.74,0.0
D1_APACHE_Sheet1,10,Mechanical vent,float64,78,0.0,2,100.0,1.0 | 0.0,,,,0.0,1.0,1.0,0.962,1.0,1.0,0.194,3.0,0.0,-4.8,3.0
D1_APACHE_Sheet1,11,       Fio2 (%) ,float64,78,0.0,10,100.0,70.0 | 100.0 | 40.0 | 60.0,,,,28.0,50.0,60.0,67.782,80.0,100.0,21.466,0.0,0.0,0.27,0.0
D1_APACHE_Sheet1,12,    pO2(mmHg) ,float64,78,0.0,72,100.0,124.0 | 43.0 | 182.0 | 193.0,,,,26.0,90.0,148.0,160.141,212.75,397.0,89.53,0.0,0.0,0.54,1.0
D1_APACHE_Sheet1,13,  pCO2 (mmHg) ,float64,78,0.0,33,100.0,39.0 | 28.0 | 31.0 | 32.0,,,,13.0,26.0,31.0,34.013,37.0,104.0,13.679,0.0,0.0,2.63,6.0
D1_APACHE_Sheet1,14,    Arterial pH,float64,78,0.0,33,100.0,7.21 | 7.48 | 7.38 | 7.44,,,,7.03,7.335,7.4,7.38,7.46,7.55,0.119,0.0,0.0,-1.01,4.0
D1_APACHE_Sheet1,15,  Na+ ( mEq/L) ,float64,78,0.0,34,100.0,136.0 | 146.0 | 158.0 | 155.0,,,,121.0,138.0,143.0,144.077,151.0,182.0,10.589,0.0,0.0,0.39,1.0
D1_APACHE_Sheet1,16,Urine Output(ml/24h) ,float64,78,0.0,43,100.0,1500.0 | 700.0 | 1400.0 | 1300.0,,,,0.0,500.0,925.0,1087.949,1400.0,4600.0,830.602,2.0,0.0,1.54,3.0
D1_APACHE_Sheet1,17,  Creatinine(mg/dl) ,float64,78,0.0,69,100.0,1.17 | 4.53 | 1.03 | 0.89,,,,0.14,0.715,1.055,2.183,2.33,20.03,2.932,0.0,0.0,3.55,11.0
D1_APACHE_Sheet1,18,   Urea(mEq/L) ,float64,78,0.0,60,100.0,28.0 | 303.0 | 83.0 | 43.0,,,,10.0,28.25,47.0,83.436,97.75,438.0,88.288,0.0,0.0,2.27,7.0
D1_APACHE_Sheet1,19,    BSL(mg/dl) ,float64,78,0.0,62,100.0,296.0 | 138.0 | 120.0 | 74.0,,,,34.0,88.0,107.5,132.064,172.25,378.0,67.315,0.0,0.0,1.4,2.0
D1_APACHE_Sheet1,20,   Albumin(g/L) ,float64,78,0.0,29,100.0,4.0 | 2.8 | 2.5 | 4.1,,,,1.7,2.7,3.3,3.229,3.7,5.1,0.732,0.0,0.0,-0.06,0.0
D1_APACHE_Sheet1,21,Bilirubin (mg/dl) ,float64,78,0.0,29,100.0,1.2 | 1.3 | 1.5 | 0.8,,,,0.1,0.7,1.0,1.5,1.5,8.0,1.57,0.0,0.0,2.72,11.0
D1_APACHE_Sheet1,22,       Ht(%) ,float64,78,0.0,64,100.0,44.1 | 36.0 | 25.3 | 31.3,,,,15.5,28.1,33.35,33.255,39.15,50.0,7.398,0.0,0.0,0.11,0.0
D1_APACHE_Sheet1,23,WBC(x1000/mm3) ,float64,78,0.0,69,100.0,25000.0 | 17500.0 | 10300.0 | 12800.0,,,,10.2,7850.0,11450.0,13182.182,15575.0,89500.0,11106.513,0.0,0.0,4.36,6.0
D1_APACHE_Sheet1,24,GCS : E,float64,78,0.0,4,100.0,1.0 | 4.0 | 2.0 | 3.0,,,,1.0,1.0,2.0,2.218,3.0,4.0,1.202,0.0,0.0,0.39,0.0
D1_APACHE_Sheet1,25,V,object,78,0.0,2,1.3,T | 5,T(77) | 5(1),98.7,0.0,,,,,,,,,,,
